"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.776567004E1,-2.083048970E-1,-1.982027173E0,-5.757400393E-2
5.778233671E1,-2.840521336E-1,-2.431623697E0,2.000582218E-2
5.779900337E1,-2.840521336E-1,-2.431623697E0,2.000582218E-2
5.781567004E1,-2.840521336E-1,-2.431623697E0,2.000582218E-2
5.783233670E1,-6.334667802E-1,-2.058385134E0,3.223838806E-1
5.784900337E1,-7.208204269E-1,-1.847636938E0,1.708894223E-1
5.786567004E1,-7.208204269E-1,-1.847636938E0,1.708894223E-1
5.788233670E1,-7.208204269E-1,-1.847636938E0,1.708894223E-1
5.789900337E1,-3.237583339E-1,-1.726074815E0,3.150535226E-1
5.791567003E1,-4.526508152E-1,-1.630779862E0,4.152353406E-1
5.793233670E1,-4.526508152E-1,-1.630779862E0,4.152353406E-1
5.794900337E1,-4.563159943E-1,-1.141477227E0,5.221366882E-1
5.796567003E1,-4.050033391E-1,-1.136590242E0,4.903717041E-1
5.798233670E1,-2.309068888E-1,-8.018363714E-1,4.378373325E-1
5.799900336E1,-1.325576603E-1,-1.146975040E0,4.176788032E-1
5.801567003E1,-1.325576603E-1,-1.146975040E0,4.176788032E-1
5.803233670E1,-1.166751757E-1,-1.382768750E0,4.298960865E-1
5.804900336E1,-1.301141977E-1,-1.574580312E0,3.187187016E-1
5.806567003E1,-8.124501258E-2,-1.663155675E0,2.808450758E-1
5.808233669E1,-1.001818255E-1,-1.548313141E0,3.492619395E-1
5.809900336E1,-2.993237413E-2,-1.238604665E0,4.531089365E-1
5.811567003E1,-2.993237413E-2,-1.238604665E0,4.531089365E-1
5.813233669E1,-2.076940238E-1,-9.686024785E-1,6.620246768E-1
5.814900336E1,-4.037816226E-1,-9.869284034E-1,6.436987519E-1
5.816567002E1,-6.554579139E-1,-9.747111201E-1,4.665479660E-1
5.818233669E1,-7.037162185E-1,-5.165625215E-1,2.374736816E-1
5.819900336E1,-7.037162185E-1,-5.165625215E-1,2.374736816E-1
5.821567002E1,-6.163625717E-1,2.771798894E-2,1.812741160E-1
5.823233669E1,-9.608902931E-1,-1.805869043E-1,9.758564830E-2
5.824900335E1,-1.492342710E0,-5.037343502E-1,-3.801106215E-1
5.826567002E1,-1.492342710E0,-5.037343502E-1,-3.801106215E-1
5.828233669E1,-2.125198603E0,-4.878518879E-1,-8.865175247E-1
5.829900335E1,-1.894902587E0,6.314814836E-2,-1.308014154E0
5.831567002E1,-1.452636480E0,6.184242368E-1,-1.700189352E0
5.833233668E1,-1.452636480E0,6.184242368E-1,-1.700189352E0
5.834900335E1,-1.018311620E0,-6.879864633E-2,-2.163835764E0
5.836567002E1,-7.024945021E-1,-1.467068076E0,-2.111301422E0
5.838233668E1,-2.706131041E-1,-2.198273182E0,-1.796706080E0
5.839900335E1,-2.706131041E-1,-2.198273182E0,-1.796706080E0
5.841567001E1,4.031707644E-1,-1.741346359E0,-1.572518706E0
5.843233668E1,6.035344005E-1,-1.515937328E0,-1.759443283E0
5.844900335E1,6.035344005E-1,-1.515937328E0,-1.759443283E0
5.846567001E1,6.035344005E-1,-1.515937328E0,-1.759443283E0
5.848233668E1,-2.296851575E-1,-6.332377195E-1,-1.370933294E0
5.849900334E1,3.805687428E-1,-3.711767197E-1,-9.103412628E-1
5.851567001E1,3.805687428E-1,-3.711767197E-1,-9.103412628E-1
5.853233668E1,7.641918659E-1,-1.013195634E0,-1.985310577E-3
5.854900334E1,6.236929297E-1,-1.332067013E0,2.484692484E-1
5.856567001E1,3.652971387E-1,-1.907501578E0,7.053961158E-1
5.858233667E1,2.315177470E-1,-2.183001757E0,9.185879230E-1
5.859900334E1,2.315177470E-1,-2.183001757E0,9.185879230E-1
5.861567001E1,1.038470119E-1,-2.493931770E0,7.310523987E-1
5.863233667E1,1.038470119E-1,-2.493931770E0,7.310523987E-1
5.864900334E1,5.968148708E-1,-2.208047152E0,9.208786488E-2
5.866567000E1,7.727439404E-1,-2.063883066E0,-2.641990222E-2
5.868233667E1,8.368847370E-1,-1.329623580E0,1.267544460E-2
5.869900334E1,8.368847370E-1,-1.329623580E0,1.267544460E-2
5.871567000E1,-9.590577334E-2,-4.634172916E-1,5.557342172E-1
5.873233667E1,-1.014035568E-1,2.588539571E-2,6.699659228E-1
5.874900333E1,1.545487940E-1,1.873751402E0,8.446732759E-1
5.876567000E1,2.583957911E-1,3.054553032E0,9.686788321E-1
5.878233667E1,2.583957911E-1,3.054553032E0,9.686788321E-1
5.879900333E1,-3.170388341E-1,2.124205828E0,1.239291906E0
5.881567000E1,-6.120865345E-1,2.127871037E0,1.197142243E0
5.883233666E1,-7.733548284E-1,2.521268129E0,1.007163286E0
