"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
2.819811411E0,3.167764399E-2,-7.458382249E-1,2.963415682E-1,5.957378149E-1,1.763694020E2,1.332985559E2,6.515160642E1,-7.418029981E1
2.836477401E0,2.918026343E-2,-7.492477894E-1,2.948173881E-1,5.923334956E-1,1.766557134E2,1.341479387E2,6.479835429E1,-7.300646403E1
2.853143390E0,1.937028423E-2,-7.509776950E-1,2.874222398E-1,5.941765308E-1,1.777801901E2,1.331739891E2,6.463023871E1,-7.252166061E1
2.869809380E0,1.026531626E-2,-7.509812117E-1,2.806249559E-1,5.976382494E-1,1.788236607E2,1.317330292E2,6.460752252E1,-7.261082616E1
2.886475370E0,4.996144343E-3,-7.519251704E-1,2.749747932E-1,5.991430879E-1,1.794274816E2,1.312129529E2,6.465801704E1,-7.220153539E1
2.903141359E0,1.545511041E-3,-7.535312772E-1,2.678858936E-1,6.003543735E-1,1.798228974E2,1.311591050E2,6.490416552E1,-7.135121891E1
2.919807349E0,3.232628201E-3,-7.515740991E-1,2.607010603E-1,6.059380174E-1,1.796295674E2,1.304969556E2,6.585317136E1,-7.150792989E1
2.936473338E0,2.976437432E-3,-7.487499714E-1,2.521958351E-1,6.129941940E-1,1.796589249E2,1.291915535E2,6.684727371E1,-7.203517612E1
2.953139328E0,1.546082914E-3,-7.442879081E-1,2.419994771E-1,6.224703789E-1,1.798228319E2,1.269711108E2,6.802430112E1,-7.323610761E1
2.969805317E0,4.887765876E-3,7.370724678E-1,-2.233738750E-1,-6.378121972E-1,1.794399011E2,1.225314625E2,6.972562789E1,-7.552754271E1
2.986471307E0,1.564136165E-2,7.297495604E-1,-1.991720647E-1,-6.538741589E-1,1.782075589E2,1.170098905E2,7.145931737E1,-7.810188452E1
3.003137297E0,2.122893687E-2,7.270469069E-1,-1.827315092E-1,-6.614841819E-1,1.775671603E2,1.144542758E2,7.257345200E1,-7.881445583E1
